address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),review_count,sentiment_score,popularity_score,food_mentions,ambiance_mentions,authenticity_mentions,service_mentions,value_mentions,food_score,ambiance_score,authenticity_score,service_score,value_for_money_score
"175-176, Bannerghatta Main Road, Dollars Colony, Behind Vodafone Store, Phase 4, JP Nagar, Bangalore",Biryani Miya,1,0,3.7,37,080 49652509,JP Nagar,Delivery,['Chicken Biryani'],"['Biryani', 'North Indian']",600.0,Delivery,5,0.7712,0.28226507937332285,16,1,1,2,1,0.732053,0.14079999999999998,0.82805,0.369425,0.623175
"1, Floor 2, Venkataswamy Building, Near Prashanth Hospital, Bommanahalli, Bangalore",Abhiruchi Hotel,1,0,3.2,12,080 49653472,Bommanahalli,Casual Dining,[],"['North Indian', 'South Indian', 'Chinese']",500.0,Delivery,2,0.41785,0.17213568521643488,1,0,0,1,0,0.399525,0.5,0.5,0.35702500000000004,0.5
"539, 10th Main, 5th Block, Jayanagar, Bangalore",Ishta Cafe,1,0,3.9,41,"+91 7893962828
+91 9972314007",Jayanagar,Quick Bites,[],"['Pizza', 'South Indian', 'Healthy Food']",500.0,Delivery,1,0.96,0.30570860054683774,1,1,0,2,0,0.5,0.2714,0.5,0.3857,0.5
"244, Rajiv Gandhi Nagar, HSR, Bangalore",Olives Restaurant,1,0,3.7,0,"+91 7026565000
+91 7026565000",HSR,Quick Bites,[],"['South Indian', 'Chinese', 'North Indian']",400.0,Delivery,1,0.19065,0.0,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1318, Near Bangalore Central, 2nd Phase, JP Nagar, Bangalore",D View Cafe,1,0,4.0,508,+91 9538943596,JP Nagar,"Cafe, Quick Bites","['Chicken Lollipop', 'Dragon Rolls', 'Pasta Alfredo', 'Chicken Pakora', 'Burgers', 'Cappuccino', 'Chicken Wings']","['Cafe', 'Italian', 'Chinese', 'Beverages']",1000.0,Delivery,10,0.751035,0.5228303566617408,18,25,1,12,2,0.7525760416666667,0.7800463541666667,0.720075,0.477525,0.698825
"Devarachikkanahalli Main Road, Kaveri Nagar, Hongasandra, Bommanahalli, Bangalore",Mr. Cane,1,0,3.2,0,+91 9731314228,Bommanahalli,Beverage Shop,[],['Juices'],100.0,Delivery,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1332, 24th Cross Road, Kottapalya, 9th Block, Jayanagar, Bangalore",Chai Culture,1,0,3.6,8,"+91 9945205480
+91 9972820480",Jayanagar,Beverage Shop,[],['Beverages'],200.0,Delivery,3,0.96455,0.16588957272417124,1,1,0,5,2,0.96425,0.5,0.5,0.9219999999999999,0.951275
"1065/A, 5th Cross, 13th Main, 2nd Floor, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Ambara Gardenia,1,1,3.8,256,"+91 8105266066
+91 9611911066",Bannerghatta Road,Casual Dining,"['Fish Fry', 'Crab Sukha', 'Chicken Biryani', 'Fish Curry', 'Murgh Ghee Roast', 'Roti', 'Naan']","['Andhra', 'North Indian', 'Chinese', 'Seafood']",800.0,Delivery,5,0.76883,0.4422281822262058,11,3,1,3,0,0.61376,0.7463,0.648,0.6226875000000001,0.5
"1st Floor, 173, Bannerghatta Road, Bilekahalli, Bangalore",Nellore Ruchulu,1,0,3.7,31,080 42041556,Bannerghatta Road,Casual Dining,[],"['North Indian', 'South Indian', 'Chinese']",800.0,Delivery,8,0.6842874999999999,0.2689300477667098,12,0,3,7,2,0.5951273809523809,0.5,0.517425,0.741025,0.5142
"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",Brewsky,1,1,4.4,4315,"+91 9880438170
+91 9880661701",JP Nagar,Microbrewery,"['Pork Chops', 'Craft Beer', 'Chicken Biryani', 'Chowmein', 'Drunken Chicken Wings', 'Cocktails', 'Mocktails']","['Continental', 'American']",1600.0,Delivery,66,0.9100742424242425,0.7723686709028094,124,116,11,51,27,0.7637088306451614,0.811002801724138,0.7565727272727273,0.6958334821428571,0.7893131578947368
"Elite Building Ground Floor, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Stoner,1,0,4.5,2594,"080 41253030
+91 9849012123",Koramangala 5th Block,"Dessert Parlor, Cafe","['Burgers', 'Spinach Pizza', 'Butter Chicken Pizza', 'Chicken Bbq Burger', 'Tiramisu', 'Ferrero Rocher', 'Brownie Shake']","['Ice Cream', 'Cafe', 'Pizza', 'Burger', 'Desserts', 'Beverages']",500.0,Delivery,40,0.90573375,0.7419101835119306,66,20,12,15,10,0.6699277083333333,0.7728117647058823,0.6288354166666666,0.6769416666666667,0.7296357142857143
"112, 6th Cross, 6th Block, Koramangala, Bangalore",Baba Chatkora,1,0,4.2,820,"+91 9945640717
+91 9886484223",Koramangala 6th Block,Casual Dining,"['Matka Lassi', 'Paneer Tikka', 'Chole', 'Shikanji', 'Onion Kulcha', 'Malai Chaap', 'Soya Chaap']",['North Indian'],1000.0,Delivery,44,0.8469795454545455,0.5910820981505571,67,56,19,50,8,0.6463061788617885,0.7412077956989247,0.7894684210526316,0.7320291666666666,0.7704500000000001
"441, Anantha, Third Floor, 17th Cross, Sector, 4, HSR, Bangalore",The Rasoiya Street,1,1,4.1,1318,"+91 9663030533
+91 8078632775",HSR,Casual Dining,"['Sandwich', 'Mushroom Soup', 'Enchiladas', 'Wood Fire Pizza', 'Tawa Pulav', 'Broccoli Soup', 'Achari Paneer']","['North Indian', 'Continental', 'Mediterranean', 'Chinese']",800.0,Delivery,122,0.8822508196721313,0.6177750328174375,275,134,31,142,34,0.6481353781512604,0.6499391176470588,0.7856475806451613,0.6963103723404256,0.6715589285714285
"1136, Above Andhra Bank, 17th Cross Road, Muneswara Nagar, Sector 7, HSR, Bangalore",Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,0,4.3,1101,+91 8041697171,HSR,Cafe,"['Pizza', 'Pancakes', 'Pasta', 'Burgers', 'Buffalo Wings', 'Peri Peri Chicken Steak', 'Latte']","['Cafe', 'Continental', 'Pizza', 'Salad']",700.0,Delivery,61,0.9123418032786885,0.6317007875202688,130,66,19,53,15,0.7166610449735449,0.7578405982905982,0.7484388888888889,0.75196484375,0.7205458333333333
"13, 7th Cross, 2nd Phase, JP Nagar, Bangalore",Chulha Chauki Da Dhaba,1,0,4.3,2374,"080 41204283
+91 7349738056",JP Nagar,Casual Dining,"['Egg Chilli', 'Chilli Babycorn', 'Chicken Curry', 'Sweet Lassi', 'Palak Paneer', 'Chaach', 'Butter Chicken']",['North Indian'],800.0,Delivery,48,0.8631562500000001,0.7009474277231732,72,41,12,39,15,0.7033754761904762,0.65799,0.6861958333333333,0.6900857142857143,0.6773318181818182
"107, 4th Floor, Art Arcade, 80Ft Road, Koramangala 4th Block, Bangalore",Smise,1,1,4.0,1205,"080 48659933
+91 8147068300",Koramangala 4th Block,Cafe,"['Pasta', 'Seafood Pizza', 'Mocktails', 'Brownie', 'Tenderloin Burger', 'Burgers', 'Exotic Veg Pizza']","['Cafe', 'Continental', 'Italian', 'Burger', 'Pizza']",650.0,Delivery,86,0.8805872093023255,0.5951938995823588,179,114,26,65,24,0.6815575223214285,0.7190029947916667,0.6870538461538462,0.6604372340425532,0.7544315789473683
"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore",Mystique Palate,1,0,4.1,337,"+91 9663313544
+91 9916685945",Jayanagar,Quick Bites,"['Noodles', 'Pasta', 'Schezwan Momos', 'Chicken Momo', 'Teriyaki Chicken', 'Thukpa', 'Fries']","['Chinese', 'Fast Food']",300.0,Delivery,12,0.8601041666666667,0.5006984066559528,15,4,0,8,4,0.7194095454545455,0.6796666666666666,0.5,0.82870625,0.7588625
"102, Shop Number 2, Ground Floor, 8th Main, 1st Stage, BTM Layout, Bangalore",Eat N Pack,0,0,3.3,0,+91 9986640444,BTM,Quick Bites,[],['Kerala'],150.0,Delivery,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"59, 1st Floor, Diagonally Opposite JNC, Industrial Layout, Koramangala 5th Block, Bangalore",A Hole Lotta Love Cafe,1,0,4.4,2859,"080 25522562
+91 9611031867",Koramangala 5th Block,Cafe,"['Burgers', 'Waffles', 'Pancakes', 'Chicken Lasagne', 'English Breakfast', 'Sandwiches', 'Pasta']","['Cafe', 'American', 'Burger', 'Sandwich', 'Beverages']",600.0,Delivery,26,0.9657634615384616,0.7343958825008038,49,20,10,18,8,0.6853390625,0.6741666666666667,0.835865,0.6937883333333333,0.67974
"59, 9th Main, Old Gurappanapalya, BTM, Bangalore",Ilyazsab The House Of Chicken,1,0,4.0,117,+91 8546857860,BTM,Quick Bites,[],"['Rolls', 'Kebab']",250.0,Delivery,16,0.95814375,0.4002053024921283,30,1,0,9,0,0.9032816666666668,0.91925,0.5,0.803025,0.5
"50/1, Opposite Jyothi Nivas College, Koramangala 5th Block, Bangalore",Tall Blonde French,1,0,4.3,721,+91 9880614444,Koramangala 5th Block,Quick Bites,"['French Fries', 'Peri Peri Fries', 'Cup Cake', 'Potato Fries', 'Fried Cheese', 'Chicken Fries', 'Mexican Fries']",['Fast Food'],400.0,Delivery,36,0.7949999999999999,0.5935675247381637,29,3,7,6,6,0.604549358974359,0.5421333333333334,0.6904142857142856,0.71567,0.6638583333333333
"MM Complex, Koramangala 5th Block, Bangalore",The Paramount Hotel,1,0,3.5,239,"+91 9743540000
+91 9743570000",Koramangala 5th Block,Casual Dining,"['Chicken Grill', 'Biryani', 'Shawarma']","['North Indian', 'Seafood', 'Biryani', 'Kerala']",1000.0,Delivery,8,0.42031875,0.40229197997140625,9,1,2,9,1,0.4730375,0.85015,0.3856,0.38958166666666666,0.79295
"927 H, 1st Floor, 1st A Main, St. Bed Layout, Koramangala 4th Block, Bangalore",The Litti Company,1,0,3.7,15,+91 9886387402,Koramangala 4th Block,"Takeaway, Delivery",[],['Bihari'],400.0,Delivery,4,0.8809374999999999,0.21514403821336783,9,0,4,0,1,0.8032125,0.5,0.69939375,0.5,0.9740500000000001
"132, 17th A main road, 5th Block, Koramangala 5th Block, Bangalore",Rafees Biryani,1,0,3.7,28,080 49652451,Koramangala 5th Block,"Takeaway, Delivery",[],"['Biryani', 'North Indian', 'Desserts']",600.0,Delivery,1,0.9532,0.2612914122138853,3,0,2,0,2,0.6357875,0.5,0.5,0.5,0.41525
"24, JNC Road, Industrial Layout, Koramangala 5th Block, Bangalore",Karavali Grand,1,0,3.7,26,+91 9900438438,Koramangala 5th Block,Casual Dining,[],"['Mangalorean', 'Seafood', 'North Indian', 'Chinese']",600.0,Delivery,12,0.9430208333333332,0.2557464246164306,24,4,3,11,4,0.8098020833333333,0.7784166666666668,0.9394333333333333,0.8325166666666667,0.8874625
"First A Cross, Jyoti Nivas College Road, KHB Colony, Koramangala 5th Block, Bangalore",Meenu Oota Da Maane,1,1,4.2,293,"+91 7892603959
+91 9916286565",Koramangala 5th Block,Casual Dining,"['Sea Food', 'Neer Dosa', 'Fish Curry', 'Chicken Thali', 'Crab Ghee Roast', 'Squid Ghee Roast', 'Murgh Ghee Roast']","['Seafood', 'Mangalorean', 'Chinese']",800.0,Delivery,15,0.8525033333333333,0.500625986840351,33,8,9,11,12,0.66943,0.6426642857142857,0.7963071428571429,0.7298,0.7011111111111111
"269, 6th Main, MICO layout, BTM 2nd Stage, BTM, Bangalore",TheRiceBowl.In,1,0,3.4,19,+91 8618839928,BTM,Takeaway,[],"['Biryani', 'North Indian']",200.0,Delivery,14,0.772417857142857,0.2136112172220523,26,0,2,6,4,0.7368439999999999,0.5,0.829925,0.74754375,0.7592125000000001
"QSR -1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Juicy Momos,1,0,3.1,21,"+91 9900012191
+91 9538550509",Bannerghatta Road,Food Court,[],"['Tibetan', 'Momos']",250.0,Delivery,2,0.9135,0.20095962110587912,0,0,0,2,0,0.5,0.5,0.5,0.4494,0.5
"22/1, 5th Cross, 60 Feet Main Road, Koramangala 5th Block, Bengaluru",FNP Cakes N More,1,0,4.1,0,080 43724374,Koramangala 5th Block,Delivery,[],['Bakery'],700.0,Delivery,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"969, 1st Main, Koramangala 1st Block, Bangalore",Habibi Falafel,1,0,4.3,219,"+91 7022311777
+91 8041225899",Koramangala 1st Block,Quick Bites,"['Baklava', 'Falafel Roll', 'Falafel Plate', 'Pita Bread', 'Mint Lemonade', 'Pita Pocket', 'Pomegranate Juice']","['Lebanese', 'Middle Eastern']",300.0,Delivery,57,0.8578657894736843,0.48639773997983754,137,23,20,47,40,0.6551700434981684,0.7036464285714286,0.6482651041666667,0.75797421875,0.7408826923076923
"45, Kasthuri Nivasa, 2nd Floor, 19th Main, 2nd Stage, BTM, Bangalore",Cucumber Town,1,0,4.2,307,"+91 8884566443
+91 8043365726",BTM,Delivery,"['Appam', 'Chicken Biryani', 'Kuluki Sarbat', 'Panneer Butter Masala', 'Meen Pollichathu', 'Vellarikka Pattanam', 'Sea Food']","['Kerala', 'North Indian']",600.0,Delivery,3,0.8465666666666667,0.5047236030766675,5,0,3,0,2,0.7418888888888889,0.5,0.634825,0.5,0.63885
"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore",Bonsouth,1,1,4.2,2616,080 49652934,Koramangala 5th Block,Casual Dining,"['Coconut Payassam', 'Seafood Soup', 'Fish', 'Filter Kaapi', 'Tender Coconut Payasam', 'Mutton Curry', 'Mysore Masala Dosa']","['Chettinad', 'Andhra', 'Kerala']",1300.0,Delivery,56,0.9388669642857144,0.6931931095724326,131,58,28,94,6,0.7004214705882353,0.7968429487179487,0.680091,0.7268825581395348,0.7672416666666666
"H.T Residency, Near St. Joseph School, 3A Cross, 21st Main, 2nd Stage, BTM, Bangalore",BTM Ghar ka Khana,0,0,3.7,126,"+91 9845018962
+91 9342818067",BTM,Quick Bites,"['Matar Paneer', 'Paratha', 'Chole Bhature', 'Lassi']",['North Indian'],200.0,Delivery,4,0.7181,0.37589346132802237,6,0,1,2,2,0.633675,0.5,0.9035,0.81185,0.41525
"3rd Cross, Maruthinagar Main Road, AGB Layout, Madiwala, 1st Stage, BTM, Bangalore",Rolls On Wheels,0,0,3.5,13,"+91 9880841111
+91 9071496800",BTM,Quick Bites,[],"['Fast Food', 'Rolls', 'Momos']",200.0,Delivery,2,0.9016500000000001,0.1937131077669293,2,0,0,0,1,0.733625,0.5,0.5,0.5,0.79295
"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Belgian Waffle Factory,1,0,4.8,186,+91 9481511911,Koramangala 5th Block,Dessert Parlor,"['Nachos', 'Chocolate Waffles', 'Nutella Waffle', 'Salsa', 'Oreo Waffle']",['Desserts'],400.0,Delivery,77,0.9064415584415586,0.5265954648876713,87,45,31,41,21,0.7360450892857142,0.639228125,0.7078467741935484,0.7851691666666667,0.7579523809523809
"974, 80 Feet Road, Koramangala 4th Block, Bangalore",Nasi And Mee,1,1,4.4,2386,080 49653462,Koramangala 4th Block,Casual Dining,"['Salads', 'Shitake Mushrooms', 'Noodles', 'Dumplings', 'Nasi Goreng', 'Crispy Corn', 'Vegetarian']","['Malaysian', 'Thai', 'Singaporean', 'Asian', 'Chinese', 'Momos']",1000.0,Delivery,113,0.9138504424778761,0.7177135999013924,275,71,30,121,19,0.7127137346938776,0.6660204081632652,0.7339983333333333,0.7598478813559322,0.7365833333333334
"557, 14th Main Road, Section 3, HSR, Bangalore",NutBerry,1,0,3.7,34,+91 9605222921,HSR,"Dessert Parlor, Beverage Shop",[],"['Beverages', 'Desserts', 'Fast Food']",150.0,Delivery,12,0.8535249999999999,0.2758836653511966,9,3,5,0,7,0.8231375000000001,0.7041499999999999,0.87135,0.5,0.62073
"Tavarekere Main Road, Shobha Hospital 16th Main, BTM, Bangalore",Darshan Paradise Restaurant,1,0,3.6,0,"+91 9880414009
+91 8095414009",BTM,Quick Bites,[],"['North Indian', 'Chinese']",250.0,Delivery,6,0.873575,0.0,7,0,0,1,0,0.94757,0.5,0.5,0.97585,0.5
"488/108, East End Main Road, 9th Block, Jayanagar, Bangalore",Navami,1,0,3.5,79,"080 22443498
080 22443499",Jayanagar,Casual Dining,"['Biryani', 'Fried Rice Chicken']","['Andhra', 'North Indian', 'Chinese', 'Mangalorean', 'Seafood', 'Biryani']",600.0,Delivery,2,0.7544,0.3216512154527119,3,0,1,2,2,0.7176583333333333,0.5,0.9875499999999999,0.95855,0.5129
"603, Koramangala 8th Block, Bangalore",Ambur Biryani,1,0,3.414285714285714,0,+91 7892965997,Koramangala 8th Block,Quick Bites,[],['Biryani'],200.0,Delivery,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"Sir M Visveswaraya Road, Kutappa Garden, Mulki Sundar Ram Shetty Nagar, Bilekahalli, Bannerghatta Road, Bangalore",Shetty's Kitchen,1,0,3.7,109,+91 9900449437,Bannerghatta Road,Quick Bites,"['Sea Food', 'Neer Dosa']",['Mangalorean'],600.0,Delivery,2,0.662675,0.3647422783362857,6,0,0,0,1,0.5778833333333333,0.5,0.5,0.5,0.7924
"483, 1st Floor, KHB Colony, Koramangala 5th Block, Bangalore",Aami Bangali,1,0,3.0,66,"+91 7619412473
080 42103388",Koramangala 5th Block,Casual Dining,"['Basanti Pulao', 'Fish', 'Aloo Posto', 'Thali']",['Bengali'],700.0,Delivery,10,0.8430949999999999,0.2645438360670699,26,4,3,14,5,0.64251775,0.6515,0.8005833333333334,0.6830592592592593,0.6448875000000001
"Agastya Suites, 116, 8th Main Road, Next to M.K.Ahmed Retail, 4th Phase, JP Nagar, Bangalore",Pizza Stop,1,0,3.9,386,"+91 9663504448
+91 9880160086",JP Nagar,Quick Bites,"['Tortilla Chips', 'Tabasco Pizza', 'Salsa', 'Mixed Sauce Pasta', 'White Sauce Pasta', 'Manali Pizza', 'Nawabi Pizza']","['Pizza', 'Italian']",600.0,Delivery,2,0.938275,0.48734689268936804,3,0,0,1,0,0.755,0.5,0.5,0.8842,0.5
"113, Kanak Arcade, 4th Phase, Dollars Layout Main Road, JP Nagar, Bangalore",Juice Junction,1,0,2.8,20,"080 49518719
+91 9535973735",JP Nagar,Beverage Shop,[],"['Juices', 'Fast Food']",150.0,Delivery,1,0.7859499999999999,0.17878017168002389,0,0,0,1,0,0.5,0.5,0.5,0.5,0.5
"99, 100ft Ring Road, 2nd Colony, 1st Stage, BTM, Bangalore",Tasty Jigarthanda,1,0,3.4,10,+91 9790447882,BTM,Beverage Shop,[],"['Beverages', 'Ice Cream']",150.0,Delivery,8,0.86256875,0.17098234462247036,9,0,7,2,0,0.68739,0.5,0.7719291666666667,0.76645,0.5
"1st Main, Sudugunda Palya, Near Srinivasa Theatre, BTM, Bangalore",Bake and Juice,1,0,3.5,15,+91 9845940476,BTM,Quick Bites,[],"['Fast Food', 'Beverages']",400.0,Delivery,3,0.9161166666666667,0.20351463074237497,2,0,0,2,0,0.927025,0.5,0.5,0.882,0.5
"80, Boss Square, Ground Floor, 1st Cross, 2nd Main, Vysya Bank Colony, 2nd Stage, BTM, Bangalore",The Cuboidal,1,0,3.6,16,"+91 9036606862
+91 9590906862",BTM,Quick Bites,[],"['Fast Food', 'Beverages', 'Sandwich']",300.0,Delivery,2,0.952925,0.21390646906549077,3,1,1,0,0,0.952925,0.9923,0.9923,0.5,0.5
"11/2, Arakera Main Road, Arakera Gate, Bannerghatta Road, Bangalore",New Karawali Lunch Home,1,0,3.5,20,"080 41263322
+91 8296346668",Bannerghatta Road,Quick Bites,[],['Mangalorean'],350.0,Delivery,9,0.7083444444444444,0.2234752146000299,11,3,2,3,4,0.6327979591836734,0.6101,0.659225,0.8164625,0.6592875
"93, Beside Prashanti Ayurvedic Centre, Koramangala 6th Block, Bangalore",Dalma,1,0,3.9,475,"080 41600213
+91 7760021212",Koramangala 6th Block,Casual Dining,"['Lassi', 'Mutton Kosha', 'Thali', 'Chicken Handi', 'Chicken Curry', 'Buttermilk', 'Rasgulla']",['Oriya'],600.0,Delivery,8,0.886675,0.5042771182299502,18,2,6,2,1,0.7763125,0.29422499999999996,0.678215,0.574425,0.6706
"934, 1st Block, 4th Stage, DC Halli, BG Road, BTM, Bangalore",BANGALORE BOX,1,1,4.1,624,"+91 9901402636
+91 8049577779",BTM,"Casual Dining, Bar","['Biryani', 'Chicken Bbq Wings', 'Mocktails', 'Sangria', 'Cocktails', 'Burgers', 'Pasta']","['Asian', 'Continental', 'Finger Food']",1500.0,Delivery,43,0.8817837209302326,0.5535542826427216,49,79,15,33,9,0.6143191919191919,0.7386804054054055,0.8185589285714285,0.729909090909091,0.8405928571428571
"Shop 6, 1st Main Road, Muneshawara Nagar, Sector 6, HSR, Bangalore",Mid-Night Crunch,1,0,3.6,455,+91 7829286850,HSR,"Takeaway, Delivery",['Rolls'],"['North Indian', 'Chinese']",400.0,Delivery,3,0.4929,0.46224574704533544,1,0,1,0,0,0.85015,0.5,0.5,0.5,0.5
"17G, 18th Cross, 3rd Sector, HSR Layout, Bangalore",RotiCurry,1,0,3.1,28,+91 8884777414,HSR,Quick Bites,[],"['Street Food', 'North Indian']",300.0,Delivery,1,0.17059999999999997,0.21891983185487687,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"30, DC Main Road, Opposite Munichinnappa Garden, Bannerghatta Road, Bangalore",Hotel Khaaja,1,0,3.1,69,+91 8867386705,Bannerghatta Road,Quick Bites,[],"['Biryani', 'Fast Food']",250.0,Delivery,35,0.42942142857142857,0.27620972762272156,24,0,0,3,3,0.3944944444444444,0.5,0.5,0.47026666666666667,0.11969999999999997
"4, Arama Suites, Sarvabhouma Nagar, Off Bannerghatta Road, Bannerghatta Road, Bangalore",Chavadi,1,1,4.4,2239,080 49653031,Bannerghatta Road,"Casual Dining, Bar","['Pizza', 'Cocktails', 'Saffron Rice', 'Pie', 'Sulemani Chai', 'Prawn Crackers', 'Waffles']","['Continental', 'North Indian', 'Pizza', 'Italian']",1200.0,Delivery,78,0.9460903846153847,0.7118483188522955,150,149,17,73,22,0.7230974530516432,0.7489957089552239,0.8094102941176471,0.6421311320754717,0.7703325
"445, Shop 1, 5th Main Road, Sector 6, HSR, Bangalore",Make It Roll,1,0,3.8,33,"080 48653336
+91 6362486312",HSR,Quick Bites,[],"['Rolls', 'Salad', 'Sandwich']",400.0,Delivery,1,0.9879,0.2810298472785674,2,0,0,0,0,0.86765,0.5,0.5,0.5,0.5
"Shop 4, 7th Main Road, 2nd Tage, BTM Layout, BTM, Bangalore",Tarbouche,1,0,3.8,12,+91 9787747815,BTM,Quick Bites,[],"['Turkish', 'Rolls']",300.0,Delivery,1,0.97085,0.20441112619451637,2,0,0,0,0,0.66565,0.5,0.5,0.5,0.5
"43/A, 1st Main, Jakkasandra Road, Near Wipro Park, Koramangala 1st Block, Bangalore",Roots,1,1,4.5,1877,080 49653573,Koramangala 1st Block,"Casual Dining, Bar","['Kadhai Murgh', 'Coffee Toffee', 'Pasta', 'Tandoori Chicken', 'Dum Aloo', 'Tandoori Pomfret', 'Butter Chicken']","['North Indian', 'South Indian', 'Chinese', 'Continental', 'Mangalorean']",1200.0,Delivery,78,0.9313217948717949,0.7113914399886344,123,72,17,103,25,0.7369006220657277,0.741495,0.7799073529411764,0.7342828125,0.7163535714285714
"A/5, Ground Floor, KHB Colony, 5th Block, Koramangala, Koramangala 5th Block, Bangalore",Bamey's Restro Cafe,1,0,4.2,532,"080 41102071
+91 8892077730",Koramangala 5th Block,Casual Dining,"['Momo Platter', 'Noodles', 'Thali', 'Chicken Sekuwa', 'Chicken Thukpa', 'Jhol Momos', 'Veg Momos']","['Chinese', 'Singaporean', 'Thai', 'Asian', 'Nepalese', 'Momos']",600.0,Delivery,8,0.9143125000000001,0.5530301522174468,22,13,7,6,2,0.7413745535714286,0.8058583333333333,0.72782,0.6517833333333334,0.765575
"487, Opposite Krishna Temple, JNC Road, 1st A Cross, Koramangala 5th Block, Bangalore",Shaap,1,0,3.6,207,080 41530004,Koramangala 5th Block,Casual Dining,"['Appam', 'Kappa Biryani', 'Chicken Fry', 'Kallappam', 'Buttermilk', 'Beef Fry', 'Paratha']","['Kerala', 'Seafood']",500.0,Delivery,3,0.45968333333333333,0.4029819803463607,5,3,0,1,0,0.5547533333333333,0.58765,0.5,0.6862,0.5
"BluPetal Hotel, 60 Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",Sultans of Spice,1,1,4.5,3458,080 49652770,Koramangala 5th Block,Casual Dining,"['Jeera Rice', 'Mutton Chops', 'Chicken Salad', 'Vegetable Biryani', 'Zafrani Mutton Biryani', 'Mutton Seekh', 'Mutton Roganjosh']","['North Indian', 'Mughlai', 'Salad']",1300.0,Delivery,30,0.9488116666666666,0.769032754799236,79,30,9,49,6,0.7108298611111111,0.7204636363636363,0.7589312500000001,0.7185825,0.692875
"8, 24th Main, Opposite Royal School, Phase 5, JP Nagar",Kolkata Famous Kati Roll,1,0,3.5,11,"+91 9620076440
+91 7892737394",JP Nagar,Quick Bites,[],"['Rolls', 'Chinese']",200.0,Delivery,3,0.8196166666666667,0.18239807988988183,5,0,0,0,4,0.7595749999999999,0.5,0.5,0.5,0.8582666666666667
"11/11, 3rd E Cross, 21st Main, 2nd Stage, BTM, Bangalore",DeliBox.in,1,0,3.7,67,+91 7337889660,BTM,Delivery,[],['South Indian'],150.0,Delivery,96,0.6801401041666667,0.327420334535105,115,1,13,14,12,0.69123125,0.8673,0.7001423076923077,0.6162892857142858,0.6598541666666666
"24, 3rd 'B' Cross, 7th Cross, 18th Main, 2nd Stage, BTM, Bangalore",Waffle Head,1,0,4.0,36,080 49653258,BTM,"Dessert Parlor, Beverage Shop","['Marshmallow', 'Chocolate Waffles']","['Desserts', 'Beverages', 'Bakery', 'Ice Cream']",300.0,Delivery,1,0.9794499999999999,0.30291427945017096,2,0,0,0,0,0.8386,0.5,0.5,0.5,0.5
"25/1, Near Sampoorna, 24th Main, 5th Phase, JP Nagar, Bangalore",The Coastal Crew by Fujian on 24th,1,1,4.2,1031,"080 26499444
+91 8951516623",JP Nagar,"Casual Dining, Bar","['Sea Food', 'Mocktails', 'Noodles', 'Murgh Ghee Roast', 'Cocktails', 'Tom Yum Soup', 'Spring Roll']","['Chinese', 'Thai', 'Seafood', 'North Indian', 'Momos']",1100.0,Delivery,11,0.8394636363636364,0.6112293654496392,22,17,3,11,2,0.7477058333333333,0.7031166666666666,0.9359666666666666,0.6431916666666666,0.6784
"H-14, 1st Main, 80 Feet Road, KR Garden, Koramangala 8th Block, Bangalore",Taste of Nepal,1,0,3.5,22,"+91 7996893079
+91 9632887162",Koramangala 8th Block,Quick Bites,[],"['Nepalese', 'Momos', 'Chinese']",350.0,Delivery,2,0.866175,0.23015276028179962,3,0,1,1,0,0.8551,0.5,0.96895,0.59505,0.5
"998/N, Ground Floor, 1st main, Koramangala 1st Block, Bangalore",Oye Mithai,1,0,3.7,0,+91 7406000270,Koramangala 1st Block,Sweet Shop,[],['Mithai'],200.0,Delivery,2,0.6375,0.0,2,0,0,0,0,0.6698500000000001,0.5,0.5,0.5,0.5
"Ground Floor, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Haagen Dazs,1,0,3.9,77,080 22067777,Koramangala 7th Block,Dessert Parlor,"['Waffles', 'Chocolate Bomb', 'Belgium Chocolate', 'Chocolate Sundae', 'Chocolate Icecreams', 'Strawberry Cheesecake']","['Ice Cream', 'Desserts']",800.0,Delivery,7,0.7611071428571429,0.3563405796708796,6,1,0,0,2,0.737235,0.5,0.5,0.5,0.394625
